text	start	duration	sequence_id	sentence
Bhai,	0.131	0.45999999999999996	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
maine	0.972	0.3600000000000001	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
apna	1.432	0.32000000000000006	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
poora	1.812	0.3400000000000001	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
content	2.213	0.52	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
creation	2.773	0.54	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
system,	3.353	0.48099999999999987	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
clod	4.354	0.39999999999999947	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
se	4.794	0.1800000000000006	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
automate	5.155	0.5	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
kar	5.715	0.20000000000000018	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
diya.	5.955	0.33999999999999986	0	 Bhai, maine apna poora content creation system, clod se automate kar diya.
Research	6.936	0.54	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
karo,	7.576	0.4200000000000008	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
hook	8.377	0.2599999999999998	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
banau,	8.697	0.5200000000000014	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
script	9.638	0.41999999999999993	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
likho,	10.158	0.46000000000000085	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
sab	11.039	0.28000000000000114	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
kuch	11.359	0.2599999999999998	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
clod	11.679	0.3200000000000003	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
kar	12.039	0.20000000000000107	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
raha	12.299	0.3410000000000011	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
hai.	12.68	0.20000000000000107	1	Research karo, hook banau, script likho, sab kuch clod kar raha hai.
Aur	13.58	0.14000000000000057	2	Aur sabse crazy part, video banane se pehle hi.
sabse	13.78	0.4410000000000007	2	Aur sabse crazy part, video banane se pehle hi.
crazy	14.261	0.41999999999999993	2	Aur sabse crazy part, video banane se pehle hi.
part,	14.741	0.33999999999999986	2	Aur sabse crazy part, video banane se pehle hi.
video	15.522	0.4599999999999991	2	Aur sabse crazy part, video banane se pehle hi.
banane	16.042	0.4799999999999969	2	Aur sabse crazy part, video banane se pehle hi.
se	16.562	0.1609999999999978	2	Aur sabse crazy part, video banane se pehle hi.
pehle	16.783	0.41999999999999815	2	Aur sabse crazy part, video banane se pehle hi.
hi.	17.263	0.17999999999999972	2	Aur sabse crazy part, video banane se pehle hi.
Main	18.003	0.2809999999999988	3	Main jaanta hoon, ki ye viral hoga ya nahi.
jaanta	18.344	0.4800000000000004	3	Main jaanta hoon, ki ye viral hoga ya nahi.
hoon,	18.864	0.259999999999998	3	Main jaanta hoon, ki ye viral hoga ya nahi.
ki	19.504	0.20099999999999696	3	Main jaanta hoon, ki ye viral hoga ya nahi.
ye	19.745	0.17999999999999972	3	Main jaanta hoon, ki ye viral hoga ya nahi.
viral	19.985	0.33999999999999986	3	Main jaanta hoon, ki ye viral hoga ya nahi.
hoga	20.365	0.38000000000000256	3	Main jaanta hoon, ki ye viral hoga ya nahi.
ya	20.785	0.14000000000000057	3	Main jaanta hoon, ki ye viral hoga ya nahi.
nahi.	20.985	0.3410000000000011	3	Main jaanta hoon, ki ye viral hoga ya nahi.
Meta	21.926	0.3810000000000002	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
ka	22.347	0.21999999999999886	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
TRIBEV2	22.607	1.4619999999999997	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
model	24.109	0.4599999999999973	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
jo	25.15	0.3000000000000007	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
actual	25.631	0.41999999999999815	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
brain	26.111	0.3410000000000011	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
signals	26.932	0.5010000000000012	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
predict	27.513	0.4209999999999994	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
karta	28.014	0.46000000000000085	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
hai.	28.514	0.1999999999999993	4	 Meta ka TRIBEV2 model jo actual brain signals predict karta hai.
Wo	29.095	0.20000000000000284	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
mujhe	29.335	0.3810000000000002	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
batata	29.756	0.5599999999999987	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
hai	30.356	0.20099999999999696	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
ki	30.917	0.21999999999999886	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
audience	31.278	0.40000000000000213	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
ka	31.758	0.17999999999999972	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
attention	31.998	0.5809999999999995	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
kab	32.619	0.24099999999999966	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
drop	32.9	0.30000000000000426	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
hoga.	33.24	0.3999999999999986	5	Wo mujhe batata hai ki audience ka attention kab drop hoga.
Second	34.321	0.40100000000000335	6	Second 12 pe brain activation drop ho raha hai.
12	34.782	0.3200000000000003	6	Second 12 pe brain activation drop ho raha hai.
pe	35.142	0.18099999999999739	6	Second 12 pe brain activation drop ho raha hai.
brain	35.363	0.3200000000000003	6	Second 12 pe brain activation drop ho raha hai.
activation	35.783	0.6809999999999974	6	Second 12 pe brain activation drop ho raha hai.
drop	36.504	0.30000000000000426	6	Second 12 pe brain activation drop ho raha hai.
